Ridgerunner 2.3.1
Built Sep 13 2026, 00:43:43.
plCurve Version: 10.1.0
Octrope Version: 10.1.0
tsnnls Version: 2.5.1
Seeded from dev/random with seed -1536993344.
Loaded 12 component, 576 vertex plCurve from seed3141.vect.
Saved copy of seed3141.vect to ./seed3141.rr/seed3141.vect.
Curve has thickness 0.490363. Scaling to thickness 0.501.
Scaled curve has thickness 0.501.
 Autoscale selftest ok.
Rerez'd, autoscaled, eq'd file written to ./seed3141.rr/seed3141.atstart.vect.
Overstep tolerance: 0.000100 of thickness 0.500000 (0.499950) minminrad: 0.49997500
ridgerunner: Curses screen display disabled, using stdout.
             Define CURSES_DISPLAY to enable better screen display.
ridgerunner: Starting run. Will stop if 
               step number >= 300 
               residual < 0 
               ropelength decrease over last 20 steps < -1000.

  95 Rop: 753.73035547439 Str:  24 MRstruts:   0 Thi: 0.4999993 
  96 Rop: 753.71066526769 Str:  26 MRstruts:   0 Thi: 0.4999992 
  97 Rop: 753.70785771104 Str:  28 MRstruts:   0 Thi: 0.4999992 
  98 Rop: 753.68214835394 Str:  32 MRstruts:   0 Thi: 0.4999992 
  99 Rop: 753.68047982341 Str:  34 MRstruts:   0 Thi: 0.4999992 
 100 Rop: 753.67866159699 Str:  36 MRstruts:   0 Thi: 0.4999992 
 101 Rop: 753.65250893750 Str:  38 MRstruts:   0 Thi: 0.4999991 
 102 Rop: 753.64970420100 Str:  40 MRstruts:   0 Thi: 0.4999991 
 103 Rop: 753.61391672704 Str:  42 MRstruts:   0 Thi: 0.4999989 
 104 Rop: 753.61030954269 Str:  44 MRstruts:   0 Thi: 0.4999989 
 105 Rop: 753.60633501916 Str:  46 MRstruts:   0 Thi: 0.4999989 
 106 Rop: 753.50044325658 Str:  52 MRstruts:   0 Thi: 0.4999724 
 107 Rop: 753.08013089606 Str:  73 MRstruts:   0 Thi: 0.4992779 
 108 Rop: 753.08013785917 Str:   2 MRstruts:   0 Thi: 0.5000000 
 109 Rop: 753.08003985835 Str:   4 MRstruts:   0 Thi: 0.5000000 
 110 Rop: 753.05346779133 Str:   4 MRstruts:   0 Thi: 0.5000000 
