Ridgerunner 2.3.1
Built Sep 13 2026, 00:43:43.
plCurve Version: 10.1.0
Octrope Version: 10.1.0
tsnnls Version: 2.5.1
Seeded from dev/random with seed 1659306896.
Loaded 1 component, 47 vertex plCurve from trefoil47.vect.
Saved copy of trefoil47.vect to ./trefoil47.rr/trefoil47.vect.
Curve has thickness 1.54794. Scaling to thickness 0.501.
Scaled curve has thickness 0.501.
 Autoscale selftest ok.
Rerez'd, autoscaled, eq'd file written to ./trefoil47.rr/trefoil47.atstart.vect.
Overstep tolerance: 0.000100 of thickness 0.500000 (0.499950) minminrad: 0.49997500
ridgerunner: Curses screen display disabled, using stdout.
             Define CURSES_DISPLAY to enable better screen display.
ridgerunner: Starting run. Will stop if 
               step number >= 5000 
               residual < 0 
               ropelength decrease over last 20 steps < -1000.

 227 Rop: 34.00516556221 Str:  11 MRstruts:   0 Thi: 0.4999998 
 228 Rop: 34.00504290003 Str:  13 MRstruts:   0 Thi: 0.4999981 
 229 Rop: 34.00495394007 Str:  14 MRstruts:   0 Thi: 0.4999980 
 230 Rop: 34.00445222444 Str:  18 MRstruts:   0 Thi: 0.4999980 
 231 Rop: 34.00330712131 Str:  19 MRstruts:   0 Thi: 0.4999698 
 232 Rop: 33.90354361540 Str:  24 MRstruts:   0 Thi: 0.4988126 
 233 Rop: 33.90267743831 Str:   2 MRstruts:   0 Thi: 0.4999999 
 234 Rop: 33.89646046013 Str:   3 MRstruts:   0 Thi: 0.4999998 
 235 Rop: 33.88472272810 Str:   8 MRstruts:   0 Thi: 0.4997571 
 236 Rop: 33.88452076130 Str:   1 MRstruts:   0 Thi: 0.5000000 
 237 Rop: 33.88453121495 Str:   2 MRstruts:   0 Thi: 0.4999997 
 238 Rop: 33.88133358155 Str:  10 MRstruts:   0 Thi: 0.4998861 
 239 Rop: 33.88125238555 Str:   1 MRstruts:   0 Thi: 0.5000000 
 240 Rop: 33.88126429354 Str:   2 MRstruts:   0 Thi: 0.4999997 
 241 Rop: 33.88017672585 Str:   3 MRstruts:   0 Thi: 0.4999997 
 242 Rop: 33.87870246708 Str:   4 MRstruts:   0 Thi: 0.4999997 
 243 Rop: 33.87833877132 Str:   5 MRstruts:   0 Thi: 0.4999997 
 244 Rop: 33.87770760292 Str:   6 MRstruts:   0 Thi: 0.4999996 
 245 Rop: 33.87605708356 Str:   7 MRstruts:   0 Thi: 0.4999995 
 246 Rop: 33.87572964884 Str:   8 MRstruts:   0 Thi: 0.4999995 
 247 Rop: 33.87561781240 Str:   9 MRstruts:   0 Thi: 0.4999995 
 248 Rop: 33.87350732703 Str:  11 MRstruts:   0 Thi: 0.4999955 
 249 Rop: 33.87252496354 Str:  12 MRstruts:   0 Thi: 0.4999955 
 250 Rop: 33.86912492986 Str:  13 MRstruts:   0 Thi: 0.4999953 
 251 Rop: 33.86824840377 Str:  14 MRstruts:   0 Thi: 0.4999953 
 252 Rop: 33.86616687796 Str:  16 MRstruts:   0 Thi: 0.4999557 
 253 Rop: 33.85812618950 Str:  17 MRstruts:   0 Thi: 0.4999556 
 254 Rop: 33.85545913362 Str:  18 MRstruts:   0 Thi: 0.4999556 
 255 Rop: 33.85237857816 Str:  20 MRstruts:   0 Thi: 0.4999556 
 256 Rop: 33.83884647910 Str:  23 MRstruts:   0 Thi: 0.4998615 
 257 Rop: 33.83698523968 Str:   3 MRstruts:   0 Thi: 0.4999674 
 258 Rop: 33.83611816860 Str:  12 MRstruts:   0 Thi: 0.4999674 
 259 Rop: 33.83489756336 Str:  16 MRstruts:   0 Thi: 0.4999672 
 260 Rop: 33.83390635350 Str:  19 MRstruts:   0 Thi: 0.4999672 
 261 Rop: 33.83215925828 Str:  19 MRstruts:   0 Thi: 0.4999672 
 262 Rop: 33.82796945220 Str:  24 MRstruts:   0 Thi: 0.4999670 
 263 Rop: 33.75097962023 Str:  31 MRstruts:   0 Thi: 0.4971846 
 264 Rop: 33.69970706598 Str:  12 MRstruts:   0 Thi: 0.4993542 
 265 Rop: 33.69971787900 Str:   1 MRstruts:   0 Thi: 0.4999997 
 266 Rop: 33.69223426554 Str:   7 MRstruts:   0 Thi: 0.4998652 
 267 Rop: 33.69224605655 Str:   2 MRstruts:   0 Thi: 0.4999997 
 268 Rop: 33.69049501681 Str:   3 MRstruts:   0 Thi: 0.4999994 
 269 Rop: 33.69038672821 Str:   4 MRstruts:   0 Thi: 0.4999994 
 270 Rop: 33.68995284456 Str:   5 MRstruts:   0 Thi: 0.4999994 
 271 Rop: 33.68741375413 Str:   6 MRstruts:   0 Thi: 0.4999992 
 272 Rop: 33.68496311245 Str:   7 MRstruts:   0 Thi: 0.4999992 
 273 Rop: 33.68159685177 Str:   9 MRstruts:   0 Thi: 0.4999657 
 274 Rop: 33.68006089997 Str:  10 MRstruts:   0 Thi: 0.4999656 
 275 Rop: 33.67862260149 Str:  11 MRstruts:   0 Thi: 0.4999654 
 276 Rop: 33.66810150053 Str:  14 MRstruts:   0 Thi: 0.4999304 
 277 Rop: 33.66791409758 Str:   7 MRstruts:   0 Thi: 0.4999778 
 278 Rop: 33.66673926070 Str:   8 MRstruts:   0 Thi: 0.4999777 
 279 Rop: 33.66555030892 Str:  12 MRstruts:   0 Thi: 0.4999777 
 280 Rop: 33.66414973796 Str:  14 MRstruts:   0 Thi: 0.4999776 
 281 Rop: 33.66305655529 Str:  15 MRstruts:   0 Thi: 0.4999776 
 282 Rop: 33.65475367544 Str:  16 MRstruts:   0 Thi: 0.4999765 
 283 Rop: 33.64748234667 Str:  18 MRstruts:   0 Thi: 0.4999759 
 284 Rop: 33.63620237690 Str:  19 MRstruts:   0 Thi: 0.4999754 
 285 Rop: 33.62250785630 Str:  21 MRstruts:   0 Thi: 0.4999739 
 286 Rop: 33.61594659413 Str:  23 MRstruts:   0 Thi: 0.4999731 
 287 Rop: 33.61349954051 Str:  24 MRstruts:   0 Thi: 0.4999731 
 288 Rop: 33.60389744037 Str:  27 MRstruts:   0 Thi: 0.4999716 
 289 Rop: 33.60167231476 Str:  28 MRstruts:   0 Thi: 0.4999715 
 290 Rop: 33.58600251890 Str:  33 MRstruts:   0 Thi: 0.4997887 
 291 Rop: 33.58337167191 Str:   4 MRstruts:   0 Thi: 0.4999642 
 292 Rop: 33.58186501735 Str:   9 MRstruts:   0 Thi: 0.4999642 
 293 Rop: 33.57981848756 Str:  18 MRstruts:   0 Thi: 0.4999638 
 294 Rop: 33.57829687572 Str:  26 MRstruts:   0 Thi: 0.4999637 
 295 Rop: 33.57701562884 Str:  29 MRstruts:   0 Thi: 0.4999637 
 296 Rop: 33.57307384785 Str:  35 MRstruts:   0 Thi: 0.4999632 
 297 Rop: 33.55564027432 Str:  37 MRstruts:   0 Thi: 0.4992871 
 298 Rop: 33.54532129322 Str:  10 MRstruts:   0 Thi: 0.4997352 
 299 Rop: 33.54329232494 Str:   3 MRstruts:   0 Thi: 0.4999411 
 300 Rop: 33.54246397430 Str:   3 MRstruts:   0 Thi: 0.4999698 
