# Curvature data file for data/reference/trefoil_3.1_plcurve_kl400.vect output from plcurvature
# VECT file has 1 components, 400 verts 
# cp = component #, vt = vertex # 
# s = arclength from vertex 0 to vertex (vt+1), k = curvature, 1/k radius of curvature 
# cp    vt     s     k       1/k     
      0    242 19.8936 0.507759  1.96944 
      0    243 19.9758 0.495012  2.02015 
      0    244 20.0573 0.506458   1.9745 
      0    245 20.1395 0.508491   1.9666 
      0    246 20.2211 0.494651  2.02163 
      0    247 20.3032 0.509289  1.96352 
      0    248 20.3849 0.497111  2.01162 
      0    249 20.4668 0.506482   1.9744 
      0    250 20.5487 0.496267  2.01504 
      0    251 20.6305 0.507577  1.97014 
      0    252 20.7125 0.497238  2.01111 
      0    253 20.7943 0.506281  1.97519 
      0    254 20.8762 0.498779  2.00489 
      0    255 20.958 0.505261  1.97917 
      0    256 21.0399 0.501537  1.99387 
      0    257 21.1218 0.506522  1.97425 
      0    258 21.2037 0.496524    2.014 
      0    259 21.2854 0.508099  1.96812 
      0    260 21.3675 0.502859  1.98863 
      0    261 21.4492 0.505219  1.97934 
      0    262 21.5311 0.514197  1.94478 
      0    263 21.613 0.510622  1.95839 
      0    264 21.6948 0.503873  1.98463 
      0    265 21.7767 0.513515  1.94736 
      0    266 21.8586 0.506521  1.97425 
      0    267 21.9404 0.518641  1.92812 
      0    268 22.0223 0.510835  1.95758 
      0    269 22.1042  0.51471  1.94284 
      0    270 22.1861 0.518196  1.92977 
      0    271 22.2679 0.519389  1.92534 
      0    272 22.3498 0.522485  1.91393 
      0    273 22.4317 0.525272  1.90378 
      0    274 22.5134  0.54994  1.81838 
      0    275 22.5954  0.55139   1.8136 
      0    276 22.6772 0.562327  1.77833 
      0    277 22.7592 0.564215  1.77237 
      0    278 22.8409 0.572631  1.74633 
      0    279 22.923 0.584014  1.71229 
      0    280 23.0046  0.61975  1.61355 
      0    281 23.087 0.706873  1.41468 
      0    282 23.1685 0.804927  1.24235 
      0    283 23.25 0.999637  1.00036 
      0    284 23.3318  0.86165  1.16056 
      0    285 23.4127 0.518812  1.92748 
      0    286 23.4967 0.573707  1.74305 
      0    287 23.5776 0.532593  1.87761 
      0    288 23.6592 0.555211  1.80112 
      0    289 23.7415 0.893835  1.11878 
      0    290 23.8229 0.991733  1.00834 
      0    291 23.9052 0.820652  1.21854 
      0    292 23.987  0.70873  1.41098 
      0    293 24.069 0.618394  1.61709 
      0    294 24.1508 0.575804   1.7367 
      0    295 24.2328 0.573237  1.74448 
      0    296 24.3146 0.564429   1.7717 
      0    297 24.3964 0.568749  1.75824 
      0    298 24.4784 0.545329  1.83376 
      0    299 24.5601 0.546353  1.83032 
      0    300 24.6422 0.531161  1.88267 
      0    301 24.7239 0.520163  1.92247 
      0    302 24.8059 0.522125  1.91525 
      0    303 24.8876 0.519458  1.92508 
      0    304 24.9697 0.515289  1.94066 
      0    305 25.0514  0.51258  1.95091 
      0    306 25.1333  0.51492  1.94205 
      0    307 25.2152  0.51109   1.9566 
      0    308 25.2971 0.508918  1.96495 
      0    309 25.3789 0.510266  1.95976 
      0    310 25.4608 0.507737  1.96952 
      0    311 25.5426  0.51016  1.96017 
      0    312 25.6246 0.503395  1.98651 
      0    313 25.7064 0.503169   1.9874 
      0    314 25.7882 0.508407  1.96693 
      0    315 25.8702 0.498811  2.00477 
      0    316 25.952 0.506153  1.97569 
      0    317 26.0339 0.500803  1.99679 
      0    318 26.1158 0.503705  1.98529 
      0    319 26.1976 0.497952  2.00823 
      0    320 26.2795 0.507758  1.96944 
      0    321 26.3614 0.499588  2.00165 
      0    322 26.4432 0.501384  1.99448 
      0    323 26.5251 0.500914  1.99635 
      0    324 26.607  0.50381  1.98488 
      0    325 26.6889 0.499328  2.00269 
      0    326 26.7707 0.501223  1.99512 
      0    327 26.8527 0.494586  2.02189 
      0    328 26.9343 0.515847  1.93856 
      0    329 27.0164 0.492409  2.03083 
      0    330 27.0981 0.499082  2.00368 
      0    331 27.1801 0.508036  1.96836 
      0    332 27.2619 0.499028   2.0039 
      0    333 27.3438  0.50019  1.99924 
      0    334 27.4256 0.503914  1.98447 
      0    335 27.5076 0.501273  1.99492 
      0    336 27.5893 0.504406  1.98253 
      0    337 27.6714 0.496726  2.01318 
      0    338 27.7529 0.510431  1.95913 
      0    339 27.8353 0.487431  2.05157 
      0    340 27.9166 0.514419  1.94394 
      0    341 27.999 0.503146   1.9875 
      0    342 28.0804 0.492098  2.03212 
      0    343 28.1626 0.512855  1.94987 
      0    344 28.2442 0.496605  2.01367 
      0    345 28.3263 0.505472  1.97835 
      0    346 28.408 0.499529  2.00189 
      0    347 28.4899 0.505249  1.97922 
      0    348 28.5718 0.503073  1.98778 
      0    349 28.6537 0.496403  2.01449 
      0    350 28.7356 0.496391  2.01454 
      0    351 28.8172 0.521923  1.91599 
      0    352 28.8996 0.477064  2.09616 
      0    353 28.9809 0.506669  1.97367 
      0    354 29.0632 0.518661  1.92804 
      0    355 29.1448 0.488549  2.04688 
      0    356 29.2268 0.507183  1.97167 
      0    357 29.3086 0.500785  1.99686 
      0    358 29.3904 0.508427  1.96685 
      0    359 29.4725 0.486457  2.05568 
      0    360 29.5541 0.508379  1.96704 
      0    361 29.6362 0.507993  1.96853 
      0    362 29.7179 0.490439  2.03899 
      0    363 29.7998 0.505621  1.97777 
      0    364 29.8817 0.498525  2.00592 
      0    365 29.9635  0.50213  1.99152 
      0    366 30.0455 0.498895  2.00443 
      0    367 30.1272 0.506573  1.97405 
      0    368 30.2093 0.497398  2.01046 
      0    369 30.2909 0.507554  1.97023 
      0    370 30.3731 0.497829  2.00872 
      0    371 30.4546 0.503321   1.9868 
      0    372 30.5368 0.502832  1.98874 
      0    373 30.6184 0.498912  2.00436 
      0    374 30.7005 0.502354  1.99063 
      0    375 30.7822 0.498267  2.00696 
      0    376 30.8641 0.504713  1.98133 
      0    377 30.946 0.496694  2.01331 
      0    378 31.0278 0.505837  1.97692 
      0    379 31.1097 0.498565  2.00576 
      0    380 31.1916 0.501987  1.99208 
      0    381 31.2735 0.504369  1.98267 
      0    382 31.3553 0.498052  2.00782 
      0    383 31.4372 0.503699  1.98531 
      0    384 31.519 0.500114  1.99955 
      0    385 31.6009 0.500772  1.99691 
      0    386 31.6829 0.494995  2.02022 
      0    387 31.7645 0.512043  1.95296 
      0    388 31.8466 0.510004  1.96077 
      0    389 31.9284 0.491865  2.03308 
      0    390 32.0102   0.5067  1.97355 
      0    391 32.0922 0.498287  2.00688 
      0    392 32.1738  0.51387  1.94602 
      0    393 32.2561 0.500903  1.99639 
      0    394 32.3375 0.511568  1.95478 
      0    395 32.4199  0.50515  1.97961 
      0    396 32.5012 0.514916  1.94207 
      0    397 32.5837 0.506861  1.97293 
      0    398 32.6645 0.518959  1.92694 
      0    399 32.7474 0.526434  1.89957 
#
